ISIN,NAME,Country,Region
IT0000784196,BANCA PPO.DI SONDRIO,IT,EUR
IT0001042610,SABAF,IT,EUR
IT0001137345,AUTOGRILL DEAD - DELIST.24/07/23,IT,EUR
IT0001233417,A2A,IT,EUR
IT0001347308,BUZZI,IT,EUR
IT0001469383,ARNOLDO MONDADORI EDI.,IT,EUR
IT0003128367,ENEL,IT,EUR
IT0003132476,ENI,IT,EUR
IT0003153415,SNAM,IT,EUR
IT0003242622,TERNA RETE ELETTRICA NAZ,IT,EUR
IT0003497168,TELECOM ITALIA,IT,EUR
IT0003506190,ATLANTIA DEAD - DELIST.09/12/22,IT,EUR
IT0003856405,LEONARDO,IT,EUR
IT0004810054,UNIPOL ASSICURAZIONI SPA,IT,EUR
IT0004827447,UNIPOLSAI DEAD - DELIST.03/07/24,IT,EUR
IT0005218380,BANCO BPM,IT,EUR
IT0005239360,UNICREDIT,IT,EUR
IT0005495657,SAIPEM,IT,EUR
IT0005496473,TESSELLIS,IT,EUR
IT0005508921,BANCA MONTE DEI PASCHI,IT,EUR
JE00B8KF9B49,WPP,GB,EUR
JE00BJ1DLW90,MAN GROUP,GB,EUR
JE00BYVQYS01,INTERNATIONAL WORKPLACE GROUP,CH,EUR
LU0075646355,SUBSEA 7,GB,EUR
NL0000008977,HEINEKEN HOLDING,NL,EUR
NL0000009082,KPN KON,NL,EUR
NL0000009165,HEINEKEN,NL,EUR
NL0000009538,PHILIPS ELTN.KONINKLIJKE,NL,EUR
NL0000226223,STMICROELECTRONICS,NL,EUR
NL0000235190,AIRBUS,NL,EUR
NL0000289213,WERELDHAVE,NL,EUR
NL0000337319,BAM GROEP KON.,NL,EUR
NL0000360618,SBM OFFSHORE,NL,EUR
NL0000379121,RANDSTAD,NL,EUR
NL0000395903,WOLTERS KLUWER,NL,EUR
NL0006237562,ARCADIS,NL,EUR
NL0009432491,KONINKLIJKE VOPAK,NL,EUR
NL0010273215,ASML HOLDING,NL,EUR
NL0010583399,CORBION NV C,NL,EUR
NL0011794037,KONINKLIJKE AHOLD DELHAIZE,NL,EUR
NL0011821202,ING GROEP,NL,EUR
NL0013267909,AKZO NOBEL,NL,EUR
NL0013332471,TOM TOM,NL,EUR
NL00150001Q9,STELLANTIS,NL,EUR
NL00150003E1,FUGRO C,NL,EUR
NL0015001FS8,FERROVIAL,NL,EUR
NL0015435975,DAVIDE CAMPARI MILANO,IT,EUR
NO0003028904,VEND SERA DEAD - DELIST.28/10/25,NO,EUR
NO0003053605,STOREBRAND,NO,EUR
NO0003054108,MOWI,NO,EUR
NO0003078800,TGS,NO,EUR
NO0003733800,ORKLA,NO,EUR
NO0005052605,NORSK HYDRO,NO,EUR
NO0010063308,TELENOR,NO,EUR
NO0010096985,EQUINOR,NO,EUR
NO0010112675,REC SILICON,NO,EUR
NO0010199151,PGS DEAD - DELIST.02/07/24,NO,EUR
NO0010208051,YARA INTERNATIONAL,NO,EUR
NO0010215684,AKASTOR,NO,EUR
NO0010861990,PROSAFE,NO,EUR
NO0012470089,TOMRA SYSTEMS,NO,EUR
PR7331747001,POPULAR,PR,EUR
PTBCP0AM0015,BANCO COMR.PORTUGUES 'R',PT,EUR
PTEDP0AM0009,EDP ENERGIAS DE PORTUGAL,PT,EUR
PTJMT0AE0001,JERONIMO MARTINS,PT,EUR
PTSON0AM0001,SONAE SGPS,PT,EUR
PTZON0AM0006,NOS SGPS,PT,EUR
SE0000106270,HENNES & MAURITZ B,SE,EUR
SE0000108227,SKF B,SE,EUR
SE0000108656,ERICSSON B,SE,EUR
SE0000111940,RATOS B,SE,EUR
SE0000112724,SVENSKA CELLULOSA AKTIEBOLAGET SCA B,SE,EUR
SE0000113250,SKANSKA B,SE,EUR
SE0000114837,TRELLEBORG B,SE,EUR
SE0000148884,SKANDINAVISKA ENSKILDA BANKEN A,SE,EUR
SE0000163594,SECURITAS B,SE,EUR
SE0000163628,ELEKTA B,SE,EUR
SE0000171100,SSAB A,SE,EUR
SE0000190126,INDUSTRIVARDEN A,SE,EUR
SE0000202624,GETINGE B,SE,EUR
SE0000242455,SWEDBANK A,SE,EUR
SE0000379190,CASTELLUM,SE,EUR
SE0000667891,SANDVIK,SE,EUR
SE0000667925,TELIA COMPANY,SE,EUR
SE0000695876,ALFA LAVAL,SE,EUR
SE0000806994,JM,SE,EUR
SE0000862997,BILLERUD AKTIEBOLAG,SE,EUR
SE0000949331,NOBIA,SE,EUR
SE0001662230,HUSQVARNA B,SE,EUR
SE0003366871,SAS DEAD - DELIST.14/08/24,SE,EUR
SE0005190238,TELE2 B,SE,EUR
SE0006993770,AXFOOD,SE,EUR
SE0007100581,ASSA ABLOY B,SE,EUR
SE0007100599,SVENSKA HANDELSBANKEN A,SE,EUR
SE0011090018,HOLMEN B,SE,EUR
SE0011166974,FABEGE,SE,EUR
SE0011256312,ENIRO GROUP,SE,EUR
SE0015811955,INVESTOR A,SE,EUR
SE0015812219,SWEDISH MATCH DEAD - DELIST.02/01/23,SE,EUR
SE0015961909,HEXAGON B,SE,EUR
SE0015988019,NIBE INDUSTRIER,SE,EUR
SE0016589188,ELECTROLUX B,SE,EUR
SE0017486889,ATLAS COPCO A,SE,EUR
SE0018012494,MODERN TIMES GROUP MTG B,SE,EUR
SE0018012635,WIHLBORGS FASTIGHETER,SE,EUR
SE0020050417,BOLIDEN ORD SHS,SE,EUR
US0528001094,AUTOLIV,SE,EUR
US70211M1099,PARTNER COMMS.ADR 1:1 DEAD - DELIST.22/09/23,IL,EUR
US8816242098,TEVA PHARMACEUTICAL INDUSTRIES ADR 1:1,IL,EUR
US91822M5022,VEON ADR 1:25,NL,EUR
